Capital,State
Mariehamn,Aland Islands
Tirana,Albania
Andorra la Vella,Andorra
Yerevan,Armenia
Vienna,Austria
Baku,Azerbaijan
Minsk,Belarus
Brussels,Belgium
Sarajevo,Bosnia and Herzegovina
Sofia,Bulgaria
Zagreb,Croatia
Nicosia,Cyprus
Prague,Czech Republic
Copenhagen,Denmark
Tallinn,Estonia
Torshavn,Faroe Islands
Helsinki,Finland
Paris,France
Tbilisi,Georgia
Berlin,Germany
Gibraltar,Gibraltar
Athens,Greece
Saint Peter Port,Guernsey
Budapest,Hungary
Reykjavik,Iceland
Dublin,Ireland
Douglas,Isle of Man
Rome,Italy
Saint Helier,Jersey
Pristina,Kosovo
Riga,Latvia
Vaduz,Liechtenstein
Vilnius,Lithuania
Luxembourg,Luxembourg
Skopje,Macedonia
Valletta,Malta
Chisinau,Moldova
Monaco,Monaco
Podgorica,Montenegro
Amsterdam,Netherlands
North Nicosia,Northern Cyprus
Oslo,Norway
Warsaw,Poland
Lisbon,Portugal
Bucharest,Romania
Moscow,Russia
San Marino,San Marino
Belgrade,Serbia
Bratislava,Slovakia
Ljubljana,Slovenia
Madrid,Spain
Longyearbyen,Svalbard
Stockholm,Sweden
Bern,Switzerland
Ankara,Turkey
Kyiv,Ukraine
London,United Kingdom
Vatican City,Vatican City
